"vol","price","side","date time"
500,18.85,buy,2024-11-15 09:48:31
"50,000",18.85,buy,2024-11-15 09:48:33
"2,500",18.85,buy,2024-11-15 09:48:45
300,18.85,buy,2024-11-15 09:48:46
100,18.85,buy,2024-11-15 09:48:46
400,18.8,sell,2024-11-15 09:48:50
"45,900",18.85,buy,2024-11-15 09:49:04
"29,700",18.85,buy,2024-11-15 09:49:04
"6,000",18.85,sell,2024-11-15 09:49:04
"10,000",18.85,buy,2024-11-15 09:49:04
300,18.85,buy,2024-11-15 09:49:04
"3,000",18.85,buy,2024-11-15 09:49:04
"2,000",18.85,buy,2024-11-15 09:49:04
500,18.85,buy,2024-11-15 09:49:04
"1,000",18.85,buy,2024-11-15 09:49:04
"1,000",18.85,buy,2024-11-15 09:49:04
600,18.85,buy,2024-11-15 09:49:04
"4,000",18.85,buy,2024-11-15 09:49:15
"1,000",18.85,sell,2024-11-15 09:49:22
100,18.85,sell,2024-11-15 09:49:22
700,18.85,sell,2024-11-15 09:49:22
"3,000",18.85,buy,2024-11-15 09:49:23
100,18.85,buy,2024-11-15 09:49:28
100,18.85,buy,2024-11-15 09:49:28
"12,400",18.85,sell,2024-11-15 09:49:34
400,18.85,sell,2024-11-15 09:49:34
100,18.85,sell,2024-11-15 09:49:34
600,18.85,buy,2024-11-15 09:49:45
100,18.85,buy,2024-11-15 09:49:53
"1,000",18.85,buy,2024-11-15 09:49:53
"2,400",18.85,buy,2024-11-15 09:49:56
"5,000",18.85,sell,2024-11-15 09:50:29
100,18.85,sell,2024-11-15 09:50:33
200,18.85,sell,2024-11-15 09:50:33
200,18.85,sell,2024-11-15 09:50:33
"1,500",18.85,sell,2024-11-15 09:50:33
300,18.85,sell,2024-11-15 09:51:18
"3,000",18.85,sell,2024-11-15 09:51:20
300,18.85,sell,2024-11-15 09:51:39
500,18.85,sell,2024-11-15 09:52:11
"1,000",18.85,sell,2024-11-15 09:52:47
"10,000",18.85,sell,2024-11-15 09:52:51
500,18.85,sell,2024-11-15 09:52:54
"10,000",18.85,sell,2024-11-15 09:53:45
700,18.85,sell,2024-11-15 09:53:52
200,18.85,sell,2024-11-15 09:53:58
600,18.85,sell,2024-11-15 09:54:03
"3,000",18.85,sell,2024-11-15 09:54:20
"2,000",18.9,buy,2024-11-15 09:54:42
100,18.9,buy,2024-11-15 09:54:45
100,18.9,buy,2024-11-15 09:54:57
100,18.9,buy,2024-11-15 09:55:13
100,18.9,buy,2024-11-15 09:55:14
500,18.85,sell,2024-11-15 09:55:23
600,18.9,buy,2024-11-15 09:55:32
"1,000",18.9,buy,2024-11-15 09:56:00
100,18.9,buy,2024-11-15 09:56:13
"11,400",18.85,sell,2024-11-15 09:56:24
"1,200",18.85,sell,2024-11-15 09:56:24
200,18.85,sell,2024-11-15 09:56:24
"1,000",18.85,sell,2024-11-15 09:56:24
200,18.85,sell,2024-11-15 09:56:24
"2,000",18.85,sell,2024-11-15 09:56:24
200,18.85,sell,2024-11-15 09:56:24
200,18.85,sell,2024-11-15 09:56:24
100,18.85,sell,2024-11-15 09:56:24
"3,500",18.85,sell,2024-11-15 09:56:24
"2,700",18.85,sell,2024-11-15 09:56:27
800,18.85,sell,2024-11-15 09:57:21
"15,500",18.85,sell,2024-11-15 09:57:33
"10,000",18.85,sell,2024-11-15 09:57:33
"2,000",18.85,sell,2024-11-15 09:57:33
100,18.85,sell,2024-11-15 09:57:33
100,18.85,sell,2024-11-15 09:57:33
100,18.85,sell,2024-11-15 09:57:33
600,18.85,sell,2024-11-15 09:57:33
100,18.85,sell,2024-11-15 09:57:33
"1,500",18.85,sell,2024-11-15 09:57:33
900,18.9,buy,2024-11-15 09:57:35
100,18.85,sell,2024-11-15 09:57:37
800,18.85,sell,2024-11-15 09:57:51
100,18.9,buy,2024-11-15 09:58:27
100,18.85,sell,2024-11-15 09:59:04
100,18.9,buy,2024-11-15 09:59:04
"1,000",18.85,sell,2024-11-15 09:59:14
100,18.85,sell,2024-11-15 09:59:14
"5,000",18.85,sell,2024-11-15 09:59:14
"5,000",18.85,sell,2024-11-15 09:59:14
"1,000",18.85,sell,2024-11-15 09:59:14
500,18.85,sell,2024-11-15 09:59:14
200,18.85,sell,2024-11-15 09:59:14
"21,800",18.85,sell,2024-11-15 09:59:14
"2,000",18.85,sell,2024-11-15 09:59:14
100,18.85,sell,2024-11-15 09:59:14
500,18.85,sell,2024-11-15 09:59:14
200,18.85,sell,2024-11-15 09:59:14
"1,000",18.85,sell,2024-11-15 09:59:14
500,18.85,sell,2024-11-15 09:59:14
100,18.85,sell,2024-11-15 09:59:14
"1,000",18.85,sell,2024-11-15 09:59:14
"3,800",18.9,buy,2024-11-15 09:59:22
"4,000",18.9,buy,2024-11-15 09:59:22
100,18.9,buy,2024-11-15 09:59:22
100,18.9,buy,2024-11-15 09:59:22
"3,800",18.9,buy,2024-11-15 09:59:22
400,18.9,buy,2024-11-15 09:59:22
200,18.9,buy,2024-11-15 09:59:22
200,18.9,buy,2024-11-15 09:59:22
100,18.9,buy,2024-11-15 09:59:22
"10,000",18.9,buy,2024-11-15 09:59:22
400,18.9,buy,2024-11-15 09:59:22
500,18.9,buy,2024-11-15 09:59:22
400,18.9,buy,2024-11-15 09:59:22
"20,000",18.9,buy,2024-11-15 09:59:22
500,18.9,buy,2024-11-15 09:59:22
100,18.9,buy,2024-11-15 09:59:22
"1,400",18.9,buy,2024-11-15 09:59:22
